,Species,Domain,Average Range,Genome_size,Exon_to_genome_ratio
311,Adhaeribacter_pallidiroseus,bacteria,2634817.0,6425974.0,2.4388691890176815
312,Adlercreutzia_caecimuris,bacteria,321464.0,2776445.0,8.636876913122464
313,Advenella_incenata,bacteria,1480854.0,4916170.0,3.319820860125306
314,Advenella_kashmirensis,bacteria,1288951.6666666667,4647794.0,3.6058714381584
315,Advenella_mimigardefordensis,bacteria,2108390.0,4764126.0,2.259603773495416
316,Advenella_sp,bacteria,1051574.0,4305312.0,4.094159802353425
317,Aegilops_tauschii,plants,45751393.0,4224915394.0,92.34506573384553
318,Aegilops_umbellulata,plants,36279286.0,4246573824.0,117.05229876905516
319,Aequorivita_antarctica,bacteria,489275.0,3803249.0,7.773233866435032
320,Aequorivita_aquimaris,bacteria,513810.0,3147268.0,6.125353729978007
321,Aequorivita_lipolytica,bacteria,484115.0,3305581.0,6.828090433058261
322,Aequorivita_soesokkakensis,bacteria,387232.0,3190776.0,8.239959507478721
323,Aequorivita_sp,bacteria,619625.8333333334,3238480.1666666665,5.226509277776507
324,Aequorivita_sublithincola,bacteria,1586807.0,3520671.0,2.218714059113679
325,Aequorivita_viscosa,bacteria,196427.0,3526892.0,17.955230187296046
326,Aeribacillus_pallidus,bacteria,991797.5,3954033.5,3.9867346913054327
327,Aeriscardovia_aeriphila,bacteria,553970.0,1631097.0,2.9443778543964476
328,Aerococcaceae_bacterium,bacteria,103687.0,2231225.0,21.51885000048222
329,Aerococcus_christensenii,bacteria,231355.5,1685199.0,7.284023937187575
330,Aerococcus_sanguinicola,bacteria,678537.0,2140820.5,3.1550534458695694
331,Aerococcus_sp,bacteria,129035.0,2073894.3333333333,16.072339546117977
332,Aerococcus_suis,bacteria,277539.0,1382195.0,4.980182965276952
333,Aerococcus_urinae,bacteria,434147.8461538461,2209072.076923077,5.088294451978607
334,Aerococcus_urinaeequi,bacteria,887636.0,2054328.0,2.3143811201889064
335,Aerococcus_urinaehominis,bacteria,808476.0,1831400.0,2.26524967964417
336,Aerococcus_viridans,bacteria,497347.25,2061717.0,4.145427565951154
337,Aeromicrobium_camelliae,bacteria,263274.0,3063801.0,11.6373094190843
338,Aeromicrobium_chenweiae,bacteria,1729006.0,3717741.0,2.150218680559813
339,Aeromicrobium_choanae,bacteria,1602404.0,3422026.0,2.135557574743947
340,Aeromicrobium_endophyticum,bacteria,1437336.0,4029279.0,2.8032965152198233
341,Aeromicrobium_erythreum,bacteria,1645558.0,3629239.0,2.2054761971319152
342,Aeromicrobium_marinum,bacteria,1424377.0,3079840.0,2.16223654271306
343,Aeromicrobium_phragmitis,bacteria,450410.0,3368070.0,7.477786905264093
