Round,Species,GenomeSize,ExonStartRange,ExonEndRange,NoncodingStartRange,NoncodingEndRange,ActiveTE,TEMobilized,TEStatic,TEInExons,TEInNoncoding,TEMobilizeProb
776,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3880000,0,3424,7756576,0.5
208,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1040000,0,912,2079088,0.5
539,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2695000,0,2366,5387634,0.5
979,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4895000,0,4356,9785644,0.5
195,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,975000,0,867,1949133,0.5
278,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1390000,0,1217,2778783,0.5
506,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2530000,0,2238,5057762,0.5
515,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2575000,0,2285,5147715,0.5
985,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4925000,0,4380,9845620,0.5
779,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3895000,0,3435,7786565,0.5
47,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,235000,0,237,469763,0.5
255,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1275000,0,1129,2548871,0.5
327,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1635000,0,1434,3268566,0.5
892,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4460000,0,3958,8916042,0.5
326,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1630000,0,1431,3258569,0.5
538,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2690000,0,2363,5377637,0.5
62,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,310000,0,299,619701,0.5
303,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1515000,0,1330,3028670,0.5
562,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2810000,0,2452,5617548,0.5
83,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,415000,0,388,829612,0.5
484,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2420000,0,2145,4837855,0.5
145,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,725000,0,647,1449353,0.5
4,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,20000,0,24,39976,0.5
467,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2335000,0,2065,4667935,0.5
528,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2640000,0,2330,5277670,0.5
542,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2710000,0,2376,5417624,0.5
219,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1095000,0,970,2189030,0.5
889,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4445000,0,3946,8886054,0.5
631,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3155000,0,2789,6307211,0.5
129,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,645000,0,580,1289420,0.5
803,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4015000,0,3534,8026466,0.5
233,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1165000,0,1024,2328976,0.5
141,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,705000,0,633,1409367,0.5
914,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4570000,0,4067,9135933,0.5
227,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1135000,0,1004,2268996,0.5
940,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4700000,0,4179,9395821,0.5
578,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2890000,0,2532,5777468,0.5
638,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3190000,0,2825,6377175,0.5
123,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,615000,0,552,1229448,0.5
422,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2110000,0,1859,4218141,0.5
368,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1840000,0,1623,3678377,0.5
250,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1250000,0,1107,2498893,0.5
573,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2865000,0,2507,5727493,0.5
948,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4740000,0,4210,9475790,0.5
968,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4840000,0,4310,9675690,0.5
954,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4770000,0,4237,9535763,0.5
229,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1145000,0,1009,2288991,0.5
392,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1960000,0,1732,3918268,0.5
397,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1985000,0,1755,3968245,0.5
283,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1415000,0,1240,2828760,0.5
834,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4170000,0,3698,8336302,0.5
