id,round,species,genome_size,exon_start_range,exon_end_range,noncoding_start_range,non_coding_end_range,active_te,te_mobilized,te_static,te_in_exons,te_in_noncoding,te_mobilize_prob
248,248,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1240000,0,104896,1135104,0.5
249,249,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1245000,0,105275,1139725,0.5
250,250,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1250000,0,105714,1144286,0.5
251,251,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1255000,0,106131,1148869,0.5
252,252,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1260000,0,106556,1153444,0.5
253,253,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1265000,0,106979,1158021,0.5
254,254,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1270000,0,107402,1162598,0.5
255,255,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1275000,0,107818,1167182,0.5
256,256,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1280000,0,108238,1171762,0.5
257,257,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1285000,0,108673,1176327,0.5
258,258,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1290000,0,109087,1180913,0.5
259,259,Abditibacterium_utsteinense,3606331,0,305408,305409,3606331,10000,1295000,0,109517,1185483,0.5
