id,round,species,genome_size,exon_start_range,exon_end_range,noncoding_start_range,non_coding_end_range,active_te,te_mobilized,te_static,te_in_exons,te_in_noncoding,te_mobilize_prob
191,191,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,955000,0,139360,815640,0.5
192,192,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,960000,0,140075,819925,0.5
193,193,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,965000,0,140785,824215,0.5
194,194,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,970000,0,141528,828472,0.5
195,195,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,975000,0,142286,832714,0.5
196,196,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,980000,0,142986,837014,0.5
197,197,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,985000,0,143712,841288,0.5
198,198,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,990000,0,144435,845565,0.5
199,199,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,995000,0,145143,849857,0.5
200,200,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1000000,0,145884,854116,0.5
201,201,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1005000,0,146637,858363,0.5
202,202,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1010000,0,147314,862686,0.5
203,203,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1015000,0,148059,866941,0.5
204,204,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1020000,0,148815,871185,0.5
205,205,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1025000,0,149574,875426,0.5
206,206,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1030000,0,150284,879716,0.5
207,207,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1035000,0,150980,884020,0.5
208,208,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1040000,0,151700,888300,0.5
